Index,Gene
0,MKL2
1,CD109
2,ABTB1
3,MAST2
4,KAT5
5,WWC2
6,CD163
7,MYL2
8,UBE2Z
9,RGPD4
10,PHYHIPL
11,OR9A4
12,ELF2
13,RAB14
14,CDH1
15,IZUMO1
16,LOC286238
17,TMIE
18,PRDX2
19,APOA2
20,AQP4
21,PSMC6
22,SLC2A8
23,MKNK1
24,GAGE12D
25,C12ORF4
26,CPLX1
27,SUV39H1
28,USF1
29,R3HDM2
30,USP29
31,TMPPE
32,HIST1H2BC
33,TTLL2
34,GBP5
35,ALG5
36,OR4C45
37,DBNDD1
38,RBP1
39,ITGA5
40,SNX5
41,ANKRD16
42,OR52B4
43,GTSE1
44,KCNIP2
45,STX2
46,NKX2-5
47,TRIM23
48,RSPH9
49,CAMK2N1
50,MT-ND4
51,HIST1H4F
52,CLCC1
53,CNFN
54,ZMYND8
55,OR6B3
56,MAP1A
57,CPXM1
58,XPA
59,RAB3IP
60,NDUFAF2
61,SRCAP
62,TAT
63,DEFB129
64,OTOP1
65,TNNT2
66,H2AFJ
67,RRAS2
68,CCL13
69,PF4V1
70,GSDMD
71,TMEM55A
72,DUSP12
73,EFHB
74,DCTPP1
75,FBXL17
76,ETV1
77,NDUFV2
78,SIRPD
79,TRPC1
80,CLSPN
81,PSMD14
82,DDI2
83,IAH1
84,WNT5A
85,ADH1C
86,GPR84
87,TNC
88,SEZ6L
89,CYP4Z1
90,ARFIP2
91,INSL4
92,DTX3L
93,PIP5K1A
94,LITAF
95,MMEL1
96,OR2F2
97,FBXO41
98,HTR1D
99,ASB10
100,HBP1
101,VAMP2
102,ZNF687
103,MEX3C
104,PCDH11X
105,SOCS6
106,OSGEPL1
107,ITGB4
108,HERC3
109,CROT
110,ANKRD36B
111,ARHGAP31
112,CCDC121
113,PANX3
114,HSPA9
115,CASP3
116,XYLT2
117,WWTR1
118,GGT5
119,PRAMEF10
120,THRSP
121,ERCC3
122,TLL2
123,RAVER2
124,PGAP2
125,TXNDC11
126,SUOX
127,DNM2
128,GNB2
129,KLK6
130,CENPJ
131,CLSTN2
132,SMCP
133,MTRNR2L6
134,TRIM44
135,NCOA3
136,GPC3
137,NAGK
138,OR2T3
139,CCDC105
140,SLC12A5
141,ITGAD
142,CD200R1
143,IGFN1
144,HRNR
145,H2AFB1
146,MED6
147,ORC6
148,FAM131B
149,PRELP
150,TRAPPC12
151,SLC25A38
152,WHSC1L1
153,PLAGL2
154,MYD88
155,HLX
